"CODIGO_ENTIDAD","NOMBRE","TIPO_GESTION","ESTADO_LICENCIAMIENTO","PERIODO_LICENCIAMIENTO","DEPARTAMENTO_LOCAL","PROVINCIA_LOCAL","DISTRITO_LOCAL","LATITUD_UBICACION","LONGITUD_UBICACION"
91,"UNIVERSIDAD PRIVADA SAN CARLOS","PRIVADO","LICENCIA DENEGADA",0,"PUNO","PUNO","PUNO",-15.8395008,-70.0295166
16,"UNIVERSIDAD NACIONAL DE CAJAMARCA","PUBLICO","LICENCIA OTORGADA",6,"CAJAMARCA","CAJAMARCA","CAJAMARCA",-7.16719359626485,-78.4965230754631
67,"UNIVERSIDAD CONTINENTAL","PRIVADO","LICENCIA OTORGADA",6,"JUNIN","HUANCAYO","HUANCAYO",-12.0477307206784,-75.1987445146805
118,"UNIVERSIDAD PRIVADA JUAN PABLO II","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","ATE",-12.0211306,-76.9037173
104,"UNIVERSIDAD LE CORDON BLEU","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","MAGDALENA DEL MAR",-12.0985893,-77.05636
37,"UNIVERSIDAD PERUANA LOS ANDES","PRIVADO","LICENCIA OTORGADA",6,"JUNIN","HUANCAYO","HUANCAYO",-12.0400383,-75.1924434
64,"UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","CHORRILLOS",-12.196473978747,-77.0055824973733
6,"UNIVERSIDAD NACIONAL DE INGENIERIA","PUBLICO","LICENCIA OTORGADA",10,"LIMA","LIMA","RIMAC",-12.0237388264957,-77.048376205978
38,"UNIVERSIDAD PERUANA UNION","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","LURIGANCHO",-11.989087,-76.839662
109,"UNIVERSIDAD PERUANA DE ARTE ORVAL","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","SAN BORJA",-12.1108862,-76.9912619
18,"UNIVERSIDAD DE LIMA","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","SANTIAGO DE SURCO",-12.0839636959617,-76.970644719574
5,"UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA","PUBLICO","LICENCIA OTORGADA",10,"AREQUIPA","AREQUIPA","AREQUIPA",-16.4032930002683,-71.5248885563446
144,"UNIVERSIDAD GLOBAL DEL CUSCO","PRIVADO","LICENCIA DENEGADA",0,"CUSCO","CUSCO","CUSCO",-13.5242195,-71.9436937
32,"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN","PUBLICO","LICENCIA OTORGADA",6,"TACNA","TACNA","TACNA",-18.0251828,-70.2505031
83,"UNIVERSIDAD PRIVADA TELESUP","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","LIMA",-12.0640089,-77.0345749
141,"UNIVERSIDAD MARITIMA DEL PERU","PRIVADO","LICENCIA DENEGADA",0,"CALLAO","PROV. CONST. DEL CALLAO","CALLAO",-12.0614969,-77.1471769
148,"UNIVERSIDAD SEMINARIO BIBLICO ANDINO","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","PUEBLO LIBRE",-12.0696208,-77.0533978
52,"UNIVERSIDAD CESAR VALLEJO","PRIVADO","LICENCIA OTORGADA",6,"LA LIBERTAD","TRUJILLO","VICTOR LARCO HERRERA",-8.1293904,-79.0433213
75,"UNIVERSIDAD NACIONAL AMAZONICA DE MADRE DE DIOS","PUBLICO","LICENCIA OTORGADA",6,"MADRE DE DIOS","TAMBOPATA","TAMBOPATA",-12.5885658,-69.2095274
63,"GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA","PRIVADO","LICENCIA DENEGADA",0,"ICA","ICA","ICA",-14.0767829,-75.7338981
14,"UNIVERSIDAD PERUANA CAYETANO HEREDIA","PRIVADO","LICENCIA OTORGADA",10,"LIMA","LIMA","SAN MARTIN DE PORRES",-12.0238841392805,-77.0563529196087
121,"UNIVERSIDAD NACIONAL DE BARRANCA","PUBLICO","LICENCIA OTORGADA",6,"LIMA","BARRANCA","BARRANCA",-10.7543002,-77.7582572
114,"UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO","PRIVADO","LICENCIA DENEGADA",0,"CUSCO","CUSCO","CUSCO",-13.525463065,-71.951678424
74,"UNIVERSIDAD CATOLICA DE TRUJILLO BENEDICTO XVI","PRIVADO","LICENCIA OTORGADA",6,"LA LIBERTAD","TRUJILLO","MOCHE",-8.16028928082204,-79.0114454031105
77,"UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC","PUBLICO","LICENCIA OTORGADA",6,"APURIMAC","ABANCAY","TAMBURCO",-13.6175558436863,-72.868156308209
11,"UNIVERSIDAD NACIONAL DE LA AMAZONIA PERUANA","PUBLICO","LICENCIA OTORGADA",8,"LORETO","MAYNAS","SAN JUAN BAUTISTA",-3.76462148034714,-73.2708806632541
57,"UNIVERSIDAD SAN IGNACIO DE LOYOLA","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","LA MOLINA",-12.0732919239496,-76.9538442181381
43,"UNIVERSIDAD PRIVADA DE TACNA","PRIVADO","LICENCIA OTORGADA",6,"TACNA","TACNA","POCOLLAY",-18.0058389,-70.2254838
113,"UNIVERSIDAD PERUANA DE INVESTIGACION Y NEGOCIOS","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","JESUS MARIA",-12.0825774,-77.0462745
8,"PONTIFICIA UNIVERSIDAD CATOLICA DEL PERU","PRIVADO","LICENCIA OTORGADA",10,"LIMA","LIMA","SAN MIGUEL",-12.0714985196764,-77.0783866107673
44,"UNIVERSIDAD PARTICULAR DE CHICLAYO","PRIVADO","LICENCIA DENEGADA",0,"LAMBAYEQUE","CHICLAYO","PIMENTEL",-6.790111,-79.8783334
47,"UNIVERSIDAD DE HUANUCO","PRIVADO","LICENCIA OTORGADA",6,"HUANUCO","HUANUCO","HUANUCO",-9.9283905637,-76.2370196
30,"UNIVERSIDAD RICARDO PALMA","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","SANTIAGO DE SURCO",-12.1313764067937,-76.9795229183853
68,"UNIVERSIDAD CIENTIFICA DEL SUR","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","VILLA EL SALVADOR",-12.2215281,-76.9766998
90,"UNIVERSIDAD PRIVADA DE TRUJILLO","PRIVADO","LICENCIA DENEGADA",0,"LA LIBERTAD","TRUJILLO","LAREDO",-8.1081445,-78.99437
39,"UNIVERSIDAD ANDINA DEL CUSCO","PRIVADO","LICENCIA OTORGADA",6,"CUSCO","CUSCO","SAN JERONIMO",-13.5372279810642,-71.9039176785389
105,"UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT","PRIVADO","LICENCIA OTORGADA",6,"JUNIN","HUANCAYO","HUANCAYO",-12.0655963606936,-75.2048378588955
115,"UNIVERSIDAD AUTONOMA SAN FRANCISCO","PRIVADO","LICENCIA DENEGADA",0,"AREQUIPA","AREQUIPA","TIABAYA",-16.4495719,-71.600257
70,"UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO","PRIVADO","LICENCIA DENEGADA",0,"CAJAMARCA","CAJAMARCA","CAJAMARCA",-7.156522,-78.5145522
9,"UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA","PUBLICO","LICENCIA DENEGADA",0,"ICA","ICA","ICA",-14.0871322,-75.7335148
137,"UNIVERSIDAD POLITECNICA AMAZONICA","PRIVADO","LICENCIA DENEGADA",0,"AMAZONAS","UTCUBAMBA","BAGUA GRANDE",-5.7566749,-78.443932
103,"UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","LIMA",-12.0739859,-77.0358612
59,"UNIVERSIDAD ALAS PERUANAS","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","JESUS MARIA",-12.081377812,-77.046673893
25,"UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE","PUBLICO","LICENCIA OTORGADA",6,"LIMA","LIMA","LURIGANCHO",-11.9464884181556,-76.7013163104507
51,"UNIVERSIDAD NACIONAL DE HUANCAVELICA","PUBLICO","LICENCIA OTORGADA",6,"HUANCAVELICA","HUANCAVELICA","HUANCAVELICA",-12.7781367,-74.9614392
94,"UNIVERSIDAD PERUANA DEL ORIENTE","PRIVADO","LICENCIA DENEGADA",0,"LORETO","MAYNAS","SAN JUAN BAUTISTA",-3.771757644,-73.283431686
76,"UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS","PUBLICO","LICENCIA OTORGADA",6,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS",-6.2335409,-77.8531651
117,"UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","BRENA",-12.0563001,-77.044063
48,"UNIVERSIDAD JOSE CARLOS MARIATEGUI","PRIVADO","LICENCIA DENEGADA",0,"MOQUEGUA","MARISCAL NIETO","MOQUEGUA",-17.1900294,-70.9423867
13,"UNIVERSIDAD NACIONAL DE PIURA","PUBLICO","LICENCIA OTORGADA",6,"PIURA","PIURA","CASTILLA",-5.179311,-80.6188325
134,"UNIVERSIDAD LATINOAMERICANA CIMA","PRIVADO","LICENCIA DENEGADA",0,"TACNA","TACNA","TACNA",-18.0165596,-70.2417025
87,"UNIVERSIDAD AUTONOMA DE ICA","PRIVADO","LICENCIA OTORGADA",6,"ICA","CHINCHA","CHINCHA ALTA",-13.4156394,-76.1286726
22,"UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA","PUBLICO","LICENCIA OTORGADA",6,"HUANUCO","LEONCIO PRADO","RUPA-RUPA",-9.31401021263929,-75.9966259843442
106,"UNIVERSIDAD NACIONAL DE FRONTERA","PUBLICO","LICENCIA OTORGADA",6,"PIURA","SULLANA","SULLANA",-4.90998222362492,-80.7284411042183
111,"UNIVERSIDAD CIENCIAS DE LA SALUD","PRIVADO","LICENCIA DENEGADA",0,"AREQUIPA","AREQUIPA","YANAHUARA",-16.4029451,-71.5456437
85,"UNIVERSIDAD PRIVADA SERGIO BERNALES","PRIVADO","LICENCIA DENEGADA",0,"LIMA","CANETE","SAN VICENTE DE CANETE",-13.0730859517571,-76.3693985923432
100,"UNIVERSIDAD JAIME BAUSATE Y MEZA","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","JESUS MARIA",-12.0849556,-77.0547406
27,"UNIVERSIDAD NACIONAL DEL CALLAO","PUBLICO","LICENCIA OTORGADA",6,"CALLAO","PROV. CONST. DEL CALLAO","BELLAVISTA",-12.0620506834119,-77.11740341842
50,"UNIVERSIDAD CIENTIFICA DEL PERU","PRIVADO","INFORME DE VERIFICACION PRESENCIAL (IVP)",0,"LORETO","MAYNAS","SAN JUAN BAUTISTA",-3.7691882967,-73.282036938
34,"UNIVERSIDAD NACIONAL DE SAN MARTIN","PUBLICO","LICENCIA OTORGADA",6,"SAN MARTIN","SAN MARTIN","TARAPOTO",-6.4887718950806,-76.3594035797623
101,"UNIVERSIDAD NACIONAL DE JAEN","PUBLICO","LICENCIA OTORGADA",6,"CAJAMARCA","JAEN","JAEN",-5.6983568,-78.8096319
112,"UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL","PRIVADO","LICENCIA DENEGADA",0,"AYACUCHO","HUAMANGA","AYACUCHO",-13.1483009,-74.228788
122,"UNIVERSIDAD NACIONAL DE CANETE","PUBLICO","LICENCIA OTORGADA",6,"LIMA","CANETE","SAN VICENTE DE CANETE",-13.0730626,-76.3678195
110,"UNIVERSIDAD PRIVADA DE LA SELVA PERUANA","PRIVADO","LICENCIA DENEGADA",0,"LORETO","MAYNAS","IQUITOS",-3.7545929,-73.2471887
88,"UNIVERSIDAD NACIONAL TECNOLOGICA DE LIMA SUR","PUBLICO","LICENCIA OTORGADA",6,"LIMA","LIMA","VILLA EL SALVADOR",-12.2134138,-76.9326924
12,"UNIVERSIDAD NACIONAL DEL ALTIPLANO","PUBLICO","LICENCIA OTORGADA",6,"PUNO","PUNO","PUNO",-15.8243805,-70.0162544
1,"UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","PUBLICO","LICENCIA OTORGADA",10,"LIMA","LIMA","LIMA",-12.0560257,-77.0844226
130,"UNIVERSIDAD AUTONOMA MUNICIPAL DE LOS OLIVOS","PUBLICO","NINGUNO",0,"LIMA","LIMA","LOS OLIVOS",-12.0003522,-77.0833903
49,"UNIVERSIDAD MARCELINO CHAMPAGNAT","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","SANTIAGO DE SURCO",-12.1363972,-77.0057685
4,"UNIVERSIDAD NACIONAL DE TRUJILLO","PUBLICO","LICENCIA OTORGADA",8,"LA LIBERTAD","TRUJILLO","TRUJILLO",-8.11437781423241,-79.0379014312134
140,"UNIVERSIDAD SANTO DOMINGO DE GUZMAN","PRIVADO","LICENCIA DENEGADA",0,"LIMA","HUAROCHIRI","SAN ANTONIO",-11.9103719,-76.9786611
40,"UNIVERSIDAD TECNOLOGICA DE LOS ANDES","PRIVADO","LICENCIA OTORGADA",6,"APURIMAC","ABANCAY","ABANCAY",-13.632299803,-72.887159418
54,"UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","SANTIAGO DE SURCO",-12.104061,-76.962902
98,"UNIVERSIDAD NACIONAL DE JULIACA","PUBLICO","LICENCIA OTORGADA",6,"PUNO","SAN ROMAN","JULIACA",-15.4881180531761,-70.1497760877316
145,"UNIVERSIDAD PERUANA SANTO TOMAS DE AQUINO DE CIENCIA E INTEGRACION","PRIVADO","LICENCIA DENEGADA",0,"JUNIN","HUANCAYO","HUANCAYO",-12.0711983,-75.2139846
26,"UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION","PUBLICO","LICENCIA OTORGADA",6,"PASCO","PASCO","YANACANCHA",-10.6684812924871,-76.252723182209
92,"UNIVERSIDAD PERUANA SIMON BOLIVAR","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","PUEBLO LIBRE",-12.0715043,-77.0510267
71,"UNIVERSIDAD CATOLICA SEDES SAPIENTIAE","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","LOS OLIVOS",-11.9999929668452,-77.0638603202378
96,"UNIVERSIDAD AUTONOMA DEL PERU","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","VILLA EL SALVADOR",-12.1954679544442,-76.9719545450516
36,"UNIVERSIDAD ANDINA NESTOR CACERES VELASQUEZ","PRIVADO","LICENCIA DENEGADA",0,"PUNO","SAN ROMAN","JULIACA",-15.532748,-70.118667
99,"UNIVERSIDAD PRIVADA JUAN MEJIA BACA","PRIVADO","LICENCIA DENEGADA",0,"LAMBAYEQUE","CHICLAYO","CHICLAYO",-6.7677499455,-79.832568276
102,"UNIVERSIDAD PERUANA DEL CENTRO","PRIVADO","EN VERIFICACION PRESENCIAL",0,"JUNIN","HUANCAYO","HUANCAYO",-12.0330464,-75.237332
61,"UNIVERSIDAD PRIVADA NORBERT WIENER","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","LIMA",-12.0696033250308,-77.0369803557503
93,"UNIVERSIDAD PERUANA DE INTEGRACION GLOBAL","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","SANTIAGO DE SURCO",-12.134611,-76.979023
86,"UNIVERSIDAD PRIVADA DE PUCALLPA","PRIVADO","LICENCIA DENEGADA",0,"UCAYALI","CORONEL PORTILLO","CALLERIA",-8.388089,-74.531292
69,"UNIVERSIDAD CATOLICA SANTO TORIBIO DE MOGROVEJO","PRIVADO","LICENCIA OTORGADA",6,"LAMBAYEQUE","CHICLAYO","CHICLAYO",-6.76034413048421,-79.8630554785042
133,"UNIVERSIDAD LA SALLE","PRIVADO","LICENCIA OTORGADA",6,"AREQUIPA","AREQUIPA","AREQUIPA",-16.424163,-71.556192
65,"UNIVERSIDAD TECNOLOGICA DEL PERU","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","LIMA",-12.0648091,-77.0363951
147,"UNIVERSIDAD SEMINARIO EVANGELICO DE LIMA","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","LA MOLINA",-12.0638224,-76.9601327
107,"UNIVERSIDAD DE LAMBAYEQUE","PRIVADO","LICENCIA DENEGADA",0,"LAMBAYEQUE","CHICLAYO","CHICLAYO",-6.7745742,-79.8450745
84,"UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONIA","PUBLICO","LICENCIA OTORGADA",6,"UCAYALI","CORONEL PORTILLO","YARINACOCHA",-8.3478339,-74.5906663
29,"UNIVERSIDAD DE PIURA","PRIVADO","LICENCIA OTORGADA",8,"PIURA","PIURA","PIURA",-5.1766923,-80.6346434
17,"UNIVERSIDAD DEL PACIFICO","PRIVADO","LICENCIA OTORGADA",8,"LIMA","LIMA","JESUS MARIA",-12.0843230461761,-77.0481402404755
46,"UNIVERSIDAD PRIVADA ANTENOR ORREGO","PRIVADO","LICENCIA OTORGADA",6,"LA LIBERTAD","TRUJILLO","TRUJILLO",-8.12790635183234,-79.0323607289749
124,"UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA","PUBLICO","LICENCIA OTORGADA",6,"JUNIN","CHANCHAMAYO","CHANCHAMAYO",-11.0565533511917,-75.3319513674591
62,"UNIVERSIDAD CATOLICA SAN PABLO","PRIVADO","LICENCIA OTORGADA",6,"AREQUIPA","AREQUIPA","AREQUIPA",-16.3901384,-71.5357161
95,"UNIVERSIDAD NACIONAL DE MOQUEGUA","PUBLICO","LICENCIA OTORGADA",6,"MOQUEGUA","MARISCAL NIETO","MOQUEGUA",-17.6018392336961,-71.3409272490738
42,"UNIVERSIDAD NACIONAL DEL SANTA","PUBLICO","LICENCIA OTORGADA",6,"ANCASH","SANTA","NUEVO CHIMBOTE",-9.12089598825579,-78.5133408957008
120,"UNIVERSIDAD NACIONAL AUTONOMA DE CHOTA","PUBLICO","LICENCIA OTORGADA",6,"CAJAMARCA","CHOTA","CHOTA",-6.56174821710936,-78.649885835582
149,"FACULTAD DE TEOLOGIA PONTIFICIA Y CIVIL DE LIMA","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","PUEBLO LIBRE",-12.0836439,-77.0692178
82,"UNIVERSIDAD PARA EL DESARROLLO ANDINO","PRIVADO","LICENCIA OTORGADA",6,"HUANCAVELICA","ANGARAES","LIRCAY",-12.9875794412456,-74.7213088430611
139,"UNIVERSIDAD NACIONAL CIRO ALEGRIA","PUBLICO","CON INFORME DE REVISION DOCUMENTARIA (IRD) DESFAVORABLE",0,"LA LIBERTAD","SANCHEZ CARRION","HUAMACHUCO",-7.8125129938,-78.045370788
